obs_ID,date,STG_n,time,hrd_size,area,beau,psd,effort,type,northing,easting,season,boat_assoc,P_or_S,lat_ROK,lon_ROK,hrd_size_ROK
OB0097,2022/10/05,6,1255,1,W_LANTAU,3,127,ON,HKCRP,814499,802979,AUTUMN,NONE,P,22.26900427,113.8538894,1
OB0098,2022/10/07,1,1239,3,W_LANTAU,2,102,ON,HKCRP,814010,803483,AUTUMN,NONE,S,22.264598,113.8587894,3
OB0099,2022/10/07,2,1309,1,W_LANTAU,2,89,ON,HKCRP,810330,800207,AUTUMN,NONE,P,22.23130042,113.8270881,1
OB0100,2022/10/07,3,1340,7,W_LANTAU,3,7,ON,HKCRP,808383,799460,AUTUMN,NONE,P,Coordinates out of range,,7
OB0101,2022/11/08,1,1354,1,W_LANTAU,3,38,ON,HKCRP,810319,800290,AUTUMN,NONE,P,22.23120281,113.8278934,1
OB0102,2022/11/08,2,1444,2,W_LANTAU,2,60,ON,HKCRP,806720,800199,AUTUMN,NONE,S,22.1987,113.8270913,2
OB0103,2022/11/10,1,1112,2,SW_LANTAU,2,22,ON,HKCRP,806172,802559,AUTUMN,PURSE-SEINE,S,22.19379879,113.8499888,2
OB0104,2022/11/11,1,1053,2,W_LANTAU,2,333,ON,HKCRP,807725,801346,AUTUMN,NONE,S,22.20779923,113.8381926,2
OB0105,2022/11/14,1,1233,1,W_LANTAU,2,16,ON,HKCRP,815383,803507,AUTUMN,NONE,P,22.27699734,113.8589942,1
OB0106,2022/11/14,2,1354,2,W_LANTAU,2,223,ON,HKCRP,809421,800473,AUTUMN,NONE,P,22.2230972,113.8296884,2
OB0107,2022/11/14,3,1407,2,W_LANTAU,3,176,ON,HKCRP,809368,799442,AUTUMN,NONE,S,Coordinates out of range,,2
OB0108,2022/11/15,1,1013,1,W_LANTAU,1,782,ON,HKCRP,814155,803257,AUTUMN,NONE,S,22.26590312,113.8565938,1
OB0109,2022/11/15,2,1022,1,W_LANTAU,2,350,ON,HKCRP,812341,802037,AUTUMN,NONE,S,22.24949801,113.8447958,1
OB0110,2022/11/15,3,1033,1,W_LANTAU,2,105,ON,HKCRP,810671,801064,AUTUMN,NONE,S,22.23439749,113.8353933,1
OB0111,2022/11/15,4,1039,8,W_LANTAU,2,141,ON,HKCRP,809376,800927,AUTUMN,PURSE-SEINE,S,22.22270016,113.8340928,8
OB0112,2022/11/18,1,1119,3,W_LANTAU,2,34,ON,HKCRP,810652,799868,AUTUMN,NONE,S,22.23420114,113.8237926,3
OB0113,2022/11/18,2,1157,11,W_LANTAU,2,357,ON,HKCRP,808604,799471,AUTUMN,NONE,S,Coordinates out of range,,11
OB0114,2022/11/18,3,1215,2,W_LANTAU,2,130,ON,HKCRP,808392,800337,AUTUMN,NONE,P,22.21380195,113.8283923,2
OB0115,2022/11/18,4,1242,2,W_LANTAU,2,235,ON,HKCRP,807405,800757,AUTUMN,NONE,P,22.20489747,113.8324874,2
OB0116,2022/11/18,5,1305,5,W_LANTAU,2,286,ON,HKCRP,805521,801702,AUTUMN,PURSE-SEINE,S,22.18790299,113.8416923,5
OB0117,2022/11/25,1,1119,2,W_LANTAU,2,953,ON,HKCRP,810829,800002,AUTUMN,NONE,S,22.23580236,113.8250884,2
OB0118,2022/11/25,2,1128,4,W_LANTAU,2,532,ON,HKCRP,810859,801167,AUTUMN,NONE,P,22.23609732,113.8363883,4
OB0119,2022/11/25,3,1145,2,W_LANTAU,2,122,ON,HKCRP,809432,800669,AUTUMN,NONE,P,22.22320058,113.8315892,2
OB0120,2022/11/25,4,1211,1,W_LANTAU,2,414,ON,HKCRP,808402,800646,AUTUMN,NONE,P,22.21389865,113.8313889,1
OB0121,2022/11/30,1,1013,1,W_LANTAU,3,291,ON,HKCRP,814088,803484,AUTUMN,NONE,S,22.2653024,113.8587975,1
